date,time,DOY,Ta,Pa,RH,Td,Tc,Rn,LWin,LWout,SWin,SWout,PPFD,P_rain,MWS,WD,Ts_1_1_1,Ts_2_1_1,Ts_3_1_1,SWC_1_1_1,SWC_2_1_1,SWC_3_1_1,SHF_1_1_1,SHF_2_1_1,SHF_3_1_1,LE,H
[yyyy-mm-dd],[HH:MM],[ddd.ddd],[K],[Pa],[%],[C],[K],[W/m^2],[W/m^2],[W/m^2],[W/m^2],[W/m^2],[µmol/m^2/s],[m],[m/s],[Degrees_past_North],[K],[K],[K],[m^3/m^3],[m^3/m^3],[m^3/m^3],[W/m^2],[W/m^2],[W/m^2],[W+1M-2],[W+1M-2]
2014-01-02,18:30:00,2.7707,285.089,101554.0,67.7743,-18.994,285.089,,,,,,323.391,0.0,2.34528,189.764,288.47,285.869,284.456,0.561611,0.607371,0.245117,8.64325,2.93261,-0.324648,56.5721,93.8388
2014-01-02,19:00:00,2.7915,284.808,101564.0,68.6423,-18.9058,284.808,,,,,,393.276,0.0,3.71839,182.76,288.489,285.927,284.517,0.561085,0.605639,0.244485,8.92169,3.09868,-0.00173955,46.6095,90.1286
2014-01-02,19:30:00,2.8123,284.881,101591.0,68.1769,-18.9125,284.881,,,,,,330.882,0.0,2.69211,186.135,288.444,285.938,284.547,0.561393,0.604755,0.243963,8.90687,3.11145,0.260388,51.1215,125.728
2014-01-02,20:00:00,2.8332,285.072,101626.0,67.012,-19.4697,285.072,,,,,,173.409,0.0,1.56416,182.794,288.392,285.933,284.576,0.561846,0.604068,0.243467,8.66712,2.99098,0.421031,25.6358,21.2727
2014-01-02,20:30:00,2.854,285.112,101668.0,60.5639,-27.005,285.112,,,,,,29.2227,0.0,2.86551,79.9,288.342,285.952,284.605,0.562277,0.603188,0.243162,8.26185,2.78044,0.489919,53.3576,-7.17652
2014-01-02,21:00:00,2.8748,284.536,101683.0,67.3093,-22.0674,284.536,,,,,,2.32046,0.0,1.64311,171.737,288.287,285.964,284.631,0.562809,0.602463,0.242695,7.74761,2.51579,0.492267,-5.85973,4.10963
2014-01-02,21:30:00,2.8956,284.377,101738.0,67.8794,-22.4513,284.377,,,,,,0.0541062,0.0,2.0545,76.5981,288.222,285.955,284.649,0.563459,0.601729,0.242326,7.16556,2.21978,0.448999,-0.802618,-15.7852
2014-01-02,22:00:00,2.9165,284.011,101759.0,68.5553,-23.0975,284.011,,,,,,0.0422323,0.0,2.32365,52.3498,288.155,285.956,284.668,0.564126,0.601182,0.242057,6.5376,1.90175,0.368009,3.19719,-7.29493
2014-01-02,22:30:00,2.9373,283.712,101769.0,71.6556,-22.3273,283.712,,,,,,0.0316767,0.0,2.85426,53.2469,288.086,285.953,284.682,0.56486,0.600811,0.241748,5.88149,1.56526,0.256461,-0.483397,-7.95334
2014-01-02,23:00:00,2.9581,283.145,101774.0,74.9245,-22.6616,283.145,,,,,,0.0292594,0.0,3.12766,53.4193,287.989,285.922,284.668,0.565921,0.600801,0.241475,5.20548,1.21336,0.112415,0.142137,-7.78336
2014-01-02,23:30:00,2.979,282.601,101785.0,76.8549,-23.6694,282.601,,,,,,0.0378419,0.0,1.56208,94.2115,287.858,285.878,284.629,0.567486,0.600983,0.241276,4.51203,0.840564,-0.0560058,1.23198,8.74894
2014-01-03,00:00:00,3.0,282.115,101799.0,78.9534,-24.2687,282.115,,,,,,0.0367439,0.0,1.09579,81.9953,287.742,285.82,284.603,0.568803,0.601372,0.24111,3.79991,0.44846,-0.268661,-0.377885,-4.4841
2014-01-03,00:30:00,3.0208,282.117,101809.0,78.5665,-25.2955,282.117,,,,,,0.0222236,0.0,1.32612,83.9841,287.615,285.763,284.561,0.570328,0.60175,0.240968,3.07446,0.0531001,-0.502446,-2.69887,8.4649
2014-01-03,01:00:00,3.0416,282.172,101807.0,77.9984,-25.1795,282.172,,,,,,0.0363066,0.0,1.31753,93.5414,287.485,285.699,284.512,0.571893,0.602242,0.240807,2.35469,-0.334115,-0.742024,-1.53029,2.60227
2014-01-03,01:30:00,3.0624,282.441,101790.0,76.56,-25.328,282.441,,,,,,0.0299259,0.0,0.689351,119.107,287.372,285.647,284.471,0.573215,0.602608,0.240684,1.65265,-0.714218,-0.981695,-0.0180566,-0.323209
2014-01-03,02:00:00,3.0833,283.008,101765.0,73.3053,-26.2108,283.008,,,,,,0.0253052,0.0,0.871504,178.632,287.269,285.592,284.435,0.57443,0.603009,0.24055,0.985309,-1.06877,-1.21638,1.14523,-2.29441
2014-01-03,02:30:00,3.1041,282.966,101762.0,73.3294,-25.0098,282.966,,,,,,0.028826,0.0,2.35997,51.2628,287.163,285.525,284.391,0.575704,0.603506,0.240446,0.36208,-1.39,-1.41136,5.63834,-15.8897
